GUID;Departament;Dispositiu;Edifici;Planta;Zona;Àrea Total (m²);Elements
"3Ljdw17Rn9xAbcBVq7_cvX";"";"Porta";"UDI";"P01";"005";"0";"1"
"3Ljdw17Rn9xAbcBVq7_cwH";"";"Porta";"UDI";"P01";"005";"0";"1"
"3Ljdw17Rn9xAbcBVq7_cwp";"";"Porta";"UDI";"P01";"005";"0";"1"
"3Ljdw17Rn9xAbcBVq7_cuo";"";"Porta";"UDI";"P01";"005";"0";"1"
"3Ljdw17Rn9xAbcBVq7_cu9";"";"Porta";"UDI";"P01";"007";"0";"1"
"3Ljdw17Rn9xAbcBVq7_d1T";"";"Porta";"UDI";"P01";"007";"0";"1"
"3Ljdw17Rn9xAbcBVq7_d7s";"";"Porta";"UDI";"P01";"007";"0";"1"
"3Ljdw17Rn9xAbcBVq7_cyl";"";"Porta";"UDI";"P01";"008";"0";"1"
"3Ljdw17Rn9xAbcBVq7_cp$";"";"Porta";"UDI";"P01";"008";"0";"1"
"3Ljdw17Rn9xAbcBVq7_cnk";"";"Porta";"UDI";"P01";"008";"0";"1"
"3Ljdw17Rn9xAbcBVq7_c_N";"";"Porta";"UDI";"P01";"008";"0";"1"
"3Ljdw17Rn9xAbcBVq7_cQD";"";"Porta";"UDI";"P01";"008";"0";"1"
"3Ljdw17Rn9xAbcBVq7_czM";"";"Porta";"UDI";"P01";"008";"0";"1"
"2ZWCajoPHD5RGgAVlN1hWi";"";"Porta";"UDI";"P01";"018";"0";"1"
"3Ljdw17Rn9xAbcBVq7_dF3";"";"Porta";"UDI";"P01";"019";"0";"1"
"3Ljdw17Rn9xAbcBVq7_dC$";"";"Porta";"UDI";"P01";"019";"0";"1"
"3Ljdw17Rn9xAbcBVq7_d4t";"";"Porta";"UDI";"P01";"033";"0";"1"
"2NOh6n0MD5GPJIkIfeSSYm";"";"Porta";"UDI";"P01";"038";"0";"1"
"2NOh6n0MD5GPJIkIfeSQqq";"";"Porta";"UDI";"P01";"038";"0";"1"
"1PsCqFpN510PG0gsLHWGEb";"";"Porta";"UDI";"P02";"009";"0";"1"
"1PsCqFpN510PG0gsLHWGIL";"";"Porta";"UDI";"P02";"009";"0";"1"
"1PsCqFpN510PG0gsLHWGDg";"";"Porta";"UDI";"P02";"009";"0";"1"
"1PsCqFpN510PG0gsLHWGCn";"";"Porta";"UDI";"P02";"009";"0";"1"
"1PsCqFpN510PG0gsLHWG9r";"";"Porta";"UDI";"P02";"010";"0";"1"
"2L_5jbk_T8bR5hh$lP56zw";"";"Porta";"UDI";"PSS";"001";"0";"1"
"2L_5jbk_T8bR5hh$lP56yw";"";"Porta";"UDI";"PSS";"001";"0";"1"
"2L_5jbk_T8bR5hh$lP56$_";"";"Porta";"UDI";"PSS";"001";"0";"1"
"3JShm$V6v6sA01TcsrL$$z";"";"Porta";"UDI";"PSS";"001";"0";"1"
"3JShm$V6v6sA01TcsrL$yS";"";"Porta";"UDI";"PSS";"001";"0";"1"
"20Us3SQ7z1mOcwWURa_FKd";"";"Porta";"UDI";"PSS";"001";"0";"1"
"0OOU4R27rELw4FSrnDDN69";"";"Porta";"UDI";"PSS";"002";"0";"1"
"35PhmDDozE9eJFNvS3Z03C";"";"Porta";"UDI";"PSS";"003";"0";"1"
"20Us3SQ7z1mOcwWURa_FLp";"";"Porta";"UDI";"PSS";"003";"0";"1"
"2Vptber7DF1xiIK3LVKtPi";"";"Porta";"UDI";"PSS";"003";"0";"1"
"0OOU4R27rELw4FSrnDDN5G";"";"Porta";"UDI";"PSS";"004";"0";"1"
"0kigphT89F1PJplFBgKdjA";"";"Porta";"UDI";"PSS";"004";"0";"1"
"0OOU4R27rELw4FSrnDDN5o";"";"Porta";"UDI";"PSS";"006";"0";"1"
"0kigphT89F1PJplFBgKdiI";"";"Porta";"UDI";"PSS";"007";"0";"1"
"0OOU4R27rELw4FSrnDDN4r";"";"Porta";"UDI";"PSS";"009";"0";"1"
"0OOU4R27rELw4FSrnDDN4X";"";"Porta";"UDI";"PSS";"010";"0";"1"
"0kigphT89F1PJplFBgKdlc";"";"Porta";"UDI";"PSS";"012";"0";"1"
"0kigphT89F1PJplFBgKWHV";"";"Porta";"UDI";"PSS";"012";"0";"1"
"0kigphT89F1PJplFBgKWIX";"";"Porta";"UDI";"PSS";"012";"0";"1"
"1$WyWKAp16AOudCeEVpx7A";"";"Porta";"UDI";"PSS";"012";"0";"1"
"0kigphT89F1PJplFBgKWOU";"";"Porta";"UDI";"PSS";"016";"0";"1"
"0kigphT89F1PJplFBgKWPy";"";"Porta";"UDI";"PSS";"017";"0";"1"
"0kigphT89F1PJplFBgKdgY";"";"Porta";"UDI";"PSS";"018";"0";"1"
"0OOU4R27rELw4FSrnDDNIZ";"";"Porta";"UDI";"PSS";"018";"0";"1"
"0OOU4R27rELw4FSrnDDNDo";"";"Porta";"UDI";"PSS";"018";"0";"1"
"0kigphT89F1PJplFBgKWJB";"";"Porta";"UDI";"PSS";"018";"0";"1"
"0OOU4R27rELw4FSrnDDNF6";"";"Porta";"UDI";"PSS";"018";"0";"1"
"0OOU4R27rELw4FSrnDDNG6";"";"Porta";"UDI";"PSS";"018";"0";"1"
"0OOU4R27rELw4FSrnDDNDk";"";"Porta";"UDI";"PSS";"021";"0";"1"
"0OOU4R27rELw4FSrnDDNJh";"";"Porta";"UDI";"PSS";"024";"0";"1"
"0kigphT89F1PJplFBgKW0N";"";"Porta";"UDI";"PSS";"028";"0";"1"
"1SqiwPlQb4m9YSVw05xGpZ";"";"Porta";"UDI";"PSS";"033";"0";"1"
"0HTxKUouLAKR3$_g$Lggc_";"";"Porta";"UDI";"PSS";"034";"0";"1"
"0kigphT89F1PJplFBgKWUZ";"";"Porta";"UDI";"PSS";"034";"0";"1"
"0kigphT89F1PJplFBgKWV3";"";"Porta";"UDI";"PSS";"034";"0";"1"
"3cb3gDxLj42vSKJhXhyCA0";"";"Porta";"UDI";"PSS";"034";"0";"1"
"0kigphT89F1PJplFBgKWVw";"";"Porta";"UDI";"PSS";"034";"0";"1"
"0kigphT89F1PJplFBgKWTc";"";"Porta";"UDI";"PSS";"035";"0";"1"
"0HTxKUouLAKR3$_g$Lggb2";"";"Porta";"UDI";"PSS";"036";"0";"1"
"0kigphT89F1PJplFBgKWQL";"";"Porta";"UDI";"PSS";"036";"0";"1"
"0kigphT89F1PJplFBgKWRo";"";"Porta";"UDI";"PSS";"036";"0";"1"
