GUID,Departament,Dispositiu,Edifici,Planta,Zona,Space Dispositiu,Àrea Total,Elements
"1PsCqFpN510PG0gsLHWGIL","","Porta","UDI","P02","009","Mòdul lavabos","0","1"
"1PsCqFpN510PG0gsLHWGDg","","Porta","UDI","P02","009","Mòdul lavabos","0","1"
"1PsCqFpN510PG0gsLHWGCn","","Porta","UDI","P02","009","Mòdul lavabos","0","1"
"1PsCqFpN510PG0gsLHWG9r","","Porta","UDI","P02","010","WC minusvàlids","0","1"
"1nvMRYwqDFOwRYiE1NVb$Q","","Porta","UDI","PSS","091","Pas zona","0","1"
"1nvMRYwqDFOwRYiE1NVf2g","","Porta","UDI","PSS","091","Pas zona","0","1"
"23GUQQWDvD9gPiXjik2Bgf","","Porta","UDI","PSS","091","Pas zona","0","1"
"23GUQQWDvD9gPiXjik2Bhv","","Porta","UDI","PSS","091","Pas zona","0","1"
"23GUQQWDvD9gPiXjik2Bix","","Porta","UDI","PSS","070","Mamògraf","0","1"
"23GUQQWDvD9gPiXjik2BjT","","Porta","UDI","PSS","071","Ecògraf","0","1"
"23GUQQWDvD9gPiXjik2Bks","","Porta","UDI","PSS","072","Mamògraf","0","1"
"23GUQQWDvD9gPiXjik2BlL","","Porta","UDI","PSS","073","Mamògraf","0","1"
"1QLpSD4Or33xSsUQuLC8_h","","Porta","UDI","PSS","091","Pas zona","0","1"
"2FhH63TsD2WRlT5VJpm3Lr","","Porta","UDI","PSS","091","Pas zona","0","1"
"2FhH63TsD2WRlT5VJpm3Q2","","Porta","UDI","PSS","064","Sala esterotàxia","0","1"
"2FhH63TsD2WRlT5VJpm3Si","","Porta","UDI","PSS","091","Pas zona","0","1"
"2FhH63TsD2WRlT5VJpm2Zq","","Porta","UDI","PSS","078","Sala informes","0","1"
"2FhH63TsD2WRlT5VJpm2bs","","Porta","UDI","PSS","089","Pas i espera zona Ecos- Mamos","0","1"
"2FhH63TsD2WRlT5VJpm2bL","","Porta","UDI","PSS","089","Pas i espera zona Ecos- Mamos","0","1"
"1iMJMgDRn669eYnSlKIl_9","","Porta","UDI","PSS","091","Pas zona","0","1"
"1iMJMgDRn669eYnSlKIlzL","","Porta","UDI","PSS","091","Pas zona","0","1"
"1iMJMgDRn669eYnSlKIlz4","","Porta","UDI","PSS","091","Pas zona","0","1"
"1Q7OiaaerAVhfBhuCgwBa_","","Porta","UDI","PSS","078","Sala informes","0","1"
"0XZWZnvRb0PuSaHYuNq7bU","","Porta","UDI","PSS","063","Sala informes ECOS","0","1"
"0HTxKUouLAKR3$_g$Lggb2","","Porta","UDI","PSS","036","Injectats 3","0","1"
"0HTxKUouLAKR3$_g$Lggc_","","Porta","UDI","PSS","034","Pas zona PET-TAC","0","1"
"244Kn$Iaj7pPk5H2YHRFM9","","Porta","UDI","PSS","044","Pas zona medicina nuclear","0","1"
"3cb3gDxLj42vSKJhXhyCA0","","Porta","UDI","PSS","034","Pas zona PET-TAC","0","1"
"3cb3gDxLj42vSKJhXhyDiW","","Porta","UDI","PSS","089","Pas i espera zona Ecos- Mamos","0","1"
"3cb3gDxLj42vSKJhXhyDiU","","Porta","UDI","PSS","089","Pas i espera zona Ecos- Mamos","0","1"
"2L_5jbk_T8bR5hh$lP56zw","","Porta","UDI","PSS","001","Mòdul lavabos escala principal","0","1"
"2L_5jbk_T8bR5hh$lP56yw","","Porta","UDI","PSS","001","Mòdul lavabos escala principal","0","1"
"2L_5jbk_T8bR5hh$lP56$2","","Porta","UDI","PSS","001","Mòdul lavabos escala principal","0","1"
"2L_5jbk_T8bR5hh$lP56$_","","Porta","UDI","PSS","001","Mòdul lavabos escala principal","0","1"
"3JShm$V6v6sA01TcsrL$$z","","Porta","UDI","PSS","001","Mòdul lavabos escala principal","0","1"
"3JShm$V6v6sA01TcsrL$yS","","Porta","UDI","PSS","001","Mòdul lavabos escala principal","0","1"
"20Us3SQ7z1mOcwWURa_FLp","","Porta","UDI","PSS","003","Pas i espera zona RM","0","1"
"20Us3SQ7z1mOcwWURa_FKd","","Porta","UDI","PSS","001","Mòdul lavabos escala principal","0","1"
"2Vptber7DF1xiIK3LVKtUe","","Porta","UDI","PSS","089","Pas i espera zona Ecos- Mamos","0","1"
"2Vptber7DF1xiIK3LVKtPi","","Porta","UDI","PSS","003","Pas i espera zona RM","0","1"
"2Vptber7DF1xiIK3LVKtQ9","","Porta","UDI","PSS","089","Pas i espera zona Ecos- Mamos","0","1"
"0OOU4R27rELw4FSrnDDNG6","","Porta","UDI","PSS","018","Pas RM","0","1"
"0OOU4R27rELw4FSrnDDNJh","","Porta","UDI","PSS","024","","0","1"
"0OOU4R27rELw4FSrnDDNIZ","","Porta","UDI","PSS","018","Pas RM","0","1"
"0OOU4R27rELw4FSrnDDNDo","","Porta","UDI","PSS","018","Pas RM","0","1"
"0OOU4R27rELw4FSrnDDNDk","","Porta","UDI","PSS","021","Control RM 3","0","1"
"0OOU4R27rELw4FSrnDDNF6","","Porta","UDI","PSS","018","Pas RM","0","1"
"0OOU4R27rELw4FSrnDDN5G","","Porta","UDI","PSS","004","Pas TAC","0","1"
"0OOU4R27rELw4FSrnDDN5o","","Porta","UDI","PSS","006","Control TAC","0","1"
"0OOU4R27rELw4FSrnDDN4r","","Porta","UDI","PSS","009","Vestidor TAC","0","1"
"0OOU4R27rELw4FSrnDDN4X","","Porta","UDI","PSS","010","Lliteres","0","1"
"0OOU4R27rELw4FSrnDDN69","","Porta","UDI","PSS","002","Sala tècnica extinció (gasos)","0","1"
"1SqiwPlQb4m9YSVw05xGpZ","","Porta","UDI","PSS","033","Gamma-càmera 3","0","1"
"1$WyWKAp16AOudCeEVpwmX","","Porta","UDI","PSS","089","Pas i espera zona Ecos- Mamos","0","1"
"1$WyWKAp16AOudCeEVpx7A","","Porta","UDI","PSS","012","Sala informes","0","1"
"1$WyWKAp16AOudCeEVpxBz","","Porta","UDI","PSS","044","Pas zona medicina nuclear","0","1"
"0kigphT89F1PJplFBgKdtn","","Porta","UDI","PSS","056","Pas i espera zona M. Nuclear","0","1"
"0kigphT89F1PJplFBgKdv_","","Porta","UDI","PSS","055","Rack comunicacions","0","1"
"0kigphT89F1PJplFBgKdxL","","Porta","UDI","PSS","044","Pas zona medicina nuclear","0","1"
"0kigphT89F1PJplFBgKdzl","","Porta","UDI","PSS","044","Pas zona medicina nuclear","0","1"
"0kigphT89F1PJplFBgKdyO","","Porta","UDI","PSS","044","Pas zona medicina nuclear","0","1"
"0kigphT89F1PJplFBgKd_e","","Porta","UDI","PSS","044","Pas zona medicina nuclear","0","1"
"0kigphT89F1PJplFBgKdXs","","Porta","UDI","PSS","049","Magatzem","0","1"
